date,portfolio_value,period_return,cumulative_return,drawdown,turnover,transaction_cost,benchmark_return,excess_return,active_stocks,weight_ABNB,weight_AMGN,weight_BKR,weight_CCEP,weight_GOOGL,weight_LIN,weight_PYPL
2021-12-31,9994923.54757075,-0.0007645242925112445,-0.050764524292501445,-0.05076452429249883,0.5,5000.0,-0.00019645615455894064,-0.0005680681379523039,7,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2022-01-31,9991468.100930016,-0.0012386833938459554,-0.08531899069983417,-0.08531899069983512,0.3333333333333333,3331.641182523583,-0.00045969945079247864,-0.0007789839430534767,7,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
2022-02-28,9988233.121140972,0.0009559113532304763,-0.11766878859028607,-0.11766878859028221,0.3333333333333333,3330.489366976672,0.0008385782628985387,0.00011733309033193752,7,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
2022-03-31,9981437.423589543,-0.0013703672011615708,-0.18562576410457998,-0.1856257641045749,0.6666666666666666,6658.822080760648,-0.0010095681375657608,-0.00036079906359581,7,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2022-04-30,9974717.685760697,-0.0006556792407839869,-0.2528231423930216,-0.2528231423930265,0.6666666666666666,6654.291615726361,0.00015255043191635717,-0.000808229672700344,7,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
2022-05-31,9971286.37694183,-0.001066726166754961,-0.2871362305816971,-0.2871362305817008,0.3333333333333333,3324.9058952535656,-0.0011851360821830375,0.00011840991542807653,7,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
2022-06-30,9964624.103378957,-0.00014791784148352838,-0.3537589662104268,-0.3537589662104286,0.6666666666666666,6647.524251294553,0.0007975562184583396,-0.000945474059941868,7,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
2022-07-31,9957916.47314019,-0.0006477665641189863,-0.4208352685981076,-0.42083526859810577,0.6666666666666666,6643.082735585971,-0.0004411938675080559,-0.00020657269661093037,7,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
2022-08-31,9947896.417240744,-0.0006240203607982645,-0.5210358275925531,-0.5210358275925554,0.9999999999999999,9957.916473140187,-0.0009313643136660434,0.0003073439528677789,7,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
2022-09-30,9941425.295433896,0.001616513996850699,-0.5857470456610447,-0.5857470456610434,0.6666666666666666,6631.930944827162,0.0007114851364998944,0.0009050288603508046,7,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
