date,portfolio_value,period_return,cumulative_return,drawdown,turnover,transaction_cost,benchmark_return,excess_return,active_stocks,weight_ABNB,weight_AMGN,weight_BKR,weight_CCEP,weight_GOOGL,weight_LIN,weight_PYPL
2021-12-31,9993391.985669732,-0.016080143302679054,-0.06608014330268253,-0.06608014330267907,0.5,5000.0,-0.0038833972066640854,-0.012196746096014968,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-01-31,9986265.823068554,-0.07130874693393709,-0.13734176931446962,-0.13734176931446418,0.0,0.0,-0.05682323766606194,-0.014485509267875146,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-02-28,9987676.06999237,0.014121864456683411,-0.12323930007629436,-0.12323930007629097,0.0,0.0,0.03688197975446071,-0.0227601152977773,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-03-31,9977815.395229697,-0.09872841984033584,-0.22184604770302263,-0.2218460477030277,0.0,0.0,-0.08918740706784384,-0.009541012772492002,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-04-30,9973868.434695164,-0.03955736178904772,-0.26131565304836624,-0.2613156530483626,0.0,0.0,-0.04322902871561901,0.003671666926571289,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-05-31,9959460.283327052,-0.1444590076804161,-0.4053971667294709,-0.4053971667294763,0.0,0.0,-0.14625113031693865,0.0017921226365225362,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-06-30,9949723.878096528,-0.07776037007570266,-0.5027612190347197,-0.5027612190347165,0.2,1991.8920566654106,-0.1006451491266489,0.02288477905094624,7,0.0,0.2,0.0,0.2,0.2,0.2,0.2
2022-07-31,9948494.007198507,-0.01236085456330329,-0.5150599280149271,-0.5150599280149304,0.0,0.0,-0.08864563818289234,0.07628478361958904,7,0.0,0.2,0.0,0.2,0.2,0.2,0.2
2022-08-31,9931630.409640964,-0.1695090487599373,-0.6836959035903534,-0.6836959035903588,0.0,0.0,-0.2287691161036491,0.05926006734371181,7,0.0,0.2,0.0,0.2,0.2,0.2,0.2
2022-09-30,9931485.75674515,-0.0014564868994057217,-0.6851424325485023,-0.6851424325484969,0.0,0.0,-0.025433373038790057,0.023976886139384333,7,0.0,0.2,0.0,0.2,0.2,0.2,0.2
2022-10-31,9933061.864874335,0.015869812108576305,-0.6693813512566482,-0.66938135125665,0.0,0.0,-0.031733891128429344,0.04760370323700565,7,0.0,0.2,0.0,0.2,0.2,0.2,0.2
2022-11-30,9936728.62058307,0.03691465691663324,-0.6327137941692929,-0.6327137941692955,0.0,0.0,0.022821254928463267,0.014093401988169971,7,0.0,0.2,0.0,0.2,0.2,0.2,0.2
2022-12-31,9943287.500864806,0.0860064346343279,-0.5671249913519416,-0.5671249913519434,0.2,1987.345724116614,0.03763492458633015,0.04837151004799775,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-01-31,9953844.990564255,0.10617705360054971,-0.46155009435745464,-0.46155009435744954,0.0,0.0,0.05978628514068469,0.04639076845986503,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-02-28,9975055.41083675,0.21308770924806594,-0.24944589163249375,-0.2494458916324936,0.0,0.0,0.15053526099239078,0.06255244825567516,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-03-31,9992723.130741812,0.17711901515722275,-0.07276869258188157,-0.07276869258187711,0.0,0.0,0.16841262193130596,0.008706393225916792,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-04-30,9998832.518361893,0.06113836579024792,-0.011674816381079811,-0.011674816381074487,0.0,0.0,0.04896055454654352,0.0121778112437044,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-05-31,10011263.710942721,0.12432644069194795,0.11263710942721605,0.0,0.0,0.0,0.13456519373825618,-0.010238753046308224,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-06-30,10021838.08075855,0.14562472552061081,0.21838080758549427,0.0,0.4,4004.5054843770886,0.1422498125050749,0.003374913015535913,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2023-07-31,10033162.295543928,0.11299538761377334,0.33162295543927023,0.0,0.0,0.0,0.17281873204878398,-0.05982334443501064,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2023-08-31,10040462.696538677,0.07276271209120751,0.40462696538676735,0.0,0.0,0.0,0.09761285941515652,-0.02485014732394901,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2023-09-30,10041502.602663802,0.010357153415679929,0.41502602663801014,0.0,0.0,0.0,0.03908305295876095,-0.028725899543081024,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2023-10-31,10046290.175846187,0.04767785631120205,0.46290175846186443,0.0,0.0,0.0,0.08214246135737215,-0.0344646050461701,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2023-11-30,10047620.962270947,0.013246545754373076,0.476209622709467,0.0,0.0,0.0,0.0808524897854243,-0.06760594403105122,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2023-12-31,10051398.544218082,0.057596779987216,0.5139854421808199,0.0,0.2,2009.5241924541895,0.04471366400165217,0.012883115985563826,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-01-31,10059616.13294514,0.08175567500293256,0.5961613294514168,0.0,0.0,0.0,0.04398562200367451,0.03777005299925805,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-02-29,10081452.604929997,0.21707062870264054,0.8145260492999684,0.0,0.0,0.0,0.17033710038023336,0.04673352832240718,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-03-31,10105149.160404783,0.23505100309848787,1.0514916040478273,0.0,0.0,0.0,0.16221790840583186,0.072833094692656,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-04-30,10117939.649415612,0.1265739753842354,1.1793964941561264,0.0,0.0,0.0,0.12098998044218334,0.005583994942052056,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-05-31,10130954.557629807,0.1286320008337498,1.3095455762980768,0.0,0.0,0.0,0.10811890448842729,0.0205130963453225,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-06-30,10141273.69636686,0.1418575167655945,1.4127369636685927,0.0,0.4,4052.381823051923,0.12320803478360175,0.018649481981992747,7,0.2,0.2,0.2,0.0,0.2,0.2,0.0
2024-07-31,10147364.171113033,0.06005630977451802,1.4736417111303357,0.0,0.0,0.0,0.09192638657987118,-0.031870076805353156,7,0.2,0.2,0.2,0.0,0.2,0.2,0.0
2024-08-31,10150783.204546096,0.03369380831718445,1.5078320454609662,0.0,0.0,0.0,0.07074549155575888,-0.037051683238574426,7,0.2,0.2,0.2,0.0,0.2,0.2,0.0
2024-09-30,10155379.577481082,0.04528096839785576,1.5537957748108067,0.0,0.0,0.0,0.07370385022035666,-0.028422881822500905,7,0.2,0.2,0.2,0.0,0.2,0.2,0.0
2024-10-31,10160844.572779737,0.05381379649043084,1.6084457277973696,0.0,0.0,0.0,0.08921125158667564,-0.035397455096244805,7,0.2,0.2,0.2,0.0,0.2,0.2,0.0
2024-11-30,10158965.477634251,-0.01849349364638328,1.5896547763425195,-0.01849349364638716,0.0,0.0,0.05543769257409232,-0.07393118622047559,7,0.2,0.2,0.2,0.0,0.2,0.2,0.0
