date,portfolio_value,period_return,cumulative_return,drawdown,turnover,transaction_cost,benchmark_return,excess_return,active_stocks,weight_ABNB,weight_AMGN,weight_BKR,weight_CCEP,weight_GOOGL,weight_LIN,weight_PYPL
2021-12-31,9991391.34760946,-0.03608652390539646,-0.08608652390539318,-0.08608652390539646,0.5,5000.0,-0.034245002748710764,-0.0018415211566856979,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-01-31,9987532.027200742,-0.03862645626068115,-0.12467972799258265,-0.12467972799258306,0.0,0.0,-0.018091791442462375,-0.02053466481821877,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-02-28,9983413.05224089,-0.04124116897583008,-0.16586947759110737,-0.16586947759110482,0.0,0.0,-0.018589438471410945,-0.022651730504419133,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-03-31,9975975.570994083,-0.034498382546007636,-0.24024429005916614,-0.2402442900591716,0.4,3993.365220896356,-0.07676970626094512,0.042271323714937484,7,0.2,0.2,0.2,0.2,0.2,0.0,0.0
2022-04-30,9977524.25198909,0.015524105727672575,-0.22475748010909458,-0.22475748010909186,0.0,0.0,0.012685191418443407,0.002838914309229168,7,0.2,0.2,0.2,0.2,0.2,0.0,0.0
2022-05-31,9962095.950288888,-0.15463056075386702,-0.3790404971111161,-0.37904049711111937,0.0,0.0,-0.18219429543907087,0.027563734685203845,7,0.2,0.2,0.2,0.2,0.2,0.0,0.0
2022-06-30,9959799.789589802,0.016951028071343906,-0.4020021041019839,-0.402002104101982,0.4,3984.8383801155555,-0.04719051253050566,0.06414154060184957,7,0.0,0.2,0.0,0.2,0.2,0.2,0.2
2022-07-31,9954600.220651753,-0.05220555681735279,-0.4539977934824635,-0.45399779348246755,0.0,0.0,-0.09407589491456747,0.04187033809721468,7,0.0,0.2,0.0,0.2,0.2,0.2,0.2
2022-08-31,9948217.724055568,-0.06411605142056942,-0.5178227594443197,-0.5178227594443224,0.0,0.0,-0.07164058488394533,0.007524533463375907,7,0.0,0.2,0.0,0.2,0.2,0.2,0.2
2022-09-30,9940924.598295113,-0.053310878016054636,-0.5907540170488668,-0.5907540170488693,0.2,1989.6435448111138,-0.03532938832151038,-0.01798148969454426,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-10-31,9948019.554947158,0.07137119472026826,-0.5198044505284161,-0.5198044505284167,0.0,0.0,0.06367502361536026,0.007696171104908001,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-11-30,9953213.609273553,0.05221194326877594,-0.46786390726447635,-0.4678639072644711,0.0,0.0,0.022440867764609206,0.029771075504166737,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2022-12-31,9963160.44813537,0.11993595287203788,-0.3683955186462917,-0.3683955186462961,0.2,1990.6427218547108,0.1146063253815685,0.005329627490469391,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-01-31,9960043.284634102,-0.0312868945300579,-0.3995671536589751,-0.39956715365897866,0.0,0.0,-0.001543990735496794,-0.02974290379456111,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-02-28,9966634.724744176,0.06617882996797562,-0.33365275255823335,-0.33365275255823507,0.0,0.0,0.10150468961468764,-0.03532585964671202,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-03-31,9967890.064236034,0.03259541988372802,-0.3210993576396648,-0.3210993576396629,0.2,1993.3269449488353,0.0277596257094826,0.004835794174245421,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2023-04-30,9969273.156809373,0.013875479809939861,-0.3072684319062713,-0.30726843190627173,0.0,0.0,-0.016336576347904547,0.03021205615784441,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2023-05-31,9975118.621346723,0.05863481163978576,-0.24881378653276442,-0.24881378653276712,0.0,0.0,0.040066144296101155,0.018568667343684606,7,0.0,0.0,0.2,0.2,0.2,0.2,0.2
2023-06-30,9987333.583073381,0.14245430044829846,-0.1266641692661885,-0.12666416926618665,0.2,1995.0237242693447,0.1431565721120153,-0.0007022716637168358,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2023-07-31,9994872.451325161,0.07548429407179358,-0.051275486748381116,-0.05127548674838618,0.0,0.0,0.0878799624208893,-0.012395668349095723,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2023-08-31,9996110.868335431,0.012390523403882976,-0.038891316645683904,-0.038891316645685584,0.0,0.0,0.05236138243760381,-0.039970859033720836,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2023-09-30,9986756.788470319,-0.07357719205319882,-0.13243211529680998,-0.1324321152968146,0.2,1999.2221736670863,-0.07781221850642137,0.004235026453222546,7,0.2,0.0,0.2,0.2,0.2,0.2,0.0
2023-10-31,9984091.795423007,-0.026685270341113204,-0.15908204576993157,-0.1590820457699336,0.0,0.0,-0.01781531612920974,-0.008869954211903463,7,0.2,0.0,0.2,0.2,0.2,0.2,0.0
2023-11-30,9990879.28262918,0.06798302084207535,-0.09120717370819653,-0.091207173708193,0.0,0.0,0.0688573984163148,-0.0008743775742394572,7,0.2,0.0,0.2,0.2,0.2,0.2,0.0
2023-12-31,10002295.157440107,0.13426296412944794,0.022951574401064434,0.0,0.2,1998.1758565258363,0.09521912464073726,0.03904383948871068,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-01-31,10011409.875599463,0.09112626668065787,0.11409875599461827,0.0,0.0,0.0,0.05009007866361311,0.04103618801704476,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-02-29,10023383.870918972,0.11960348710417748,0.2338387091897154,0.0,0.0,0.0,0.07943657186946698,0.0401669152347105,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-03-31,10029911.193931296,0.085120952129364,0.2991119393129571,0.0,0.2,2004.6767741837946,0.060446066515786295,0.02467488561357771,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2024-04-30,10031591.383297458,0.016751787066459654,0.3159138329745792,0.0,0.0,0.0,0.07288381031581334,-0.05613202324935369,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2024-05-31,10029683.438883726,-0.01901935935020447,0.29683438883725266,-0.019019359350196958,0.0,0.0,0.032670050859451294,-0.05168941020965576,7,0.2,0.0,0.2,0.2,0.0,0.2,0.2
2024-06-30,10030955.260574197,0.05268057659268379,0.3095526057419695,-0.006341194521938314,0.4,4011.873375553491,0.04329617697346423,0.00938439961921956,7,0.2,0.2,0.2,0.0,0.2,0.2,0.0
2024-07-31,10031848.533232521,0.008905160427093505,0.3184853323252135,0.0,0.0,0.0,0.039260604551860256,-0.03035544412476675,7,0.2,0.2,0.2,0.0,0.2,0.2,0.0
