Strategy,Cumulative Return,CAGR,MDD,Avg Annual DD,Sharpe
Buy & Hold,0.54%,0.13%,-0.26%,0.00%,-17.55
TGNN 1M,-2.61%,-0.66%,-2.61%,0.00%,-1273.86
TGNN 3M,-0.84%,-0.21%,-0.84%,0.00%,-892.60
TGNN 6M,-0.50%,-0.12%,-0.50%,0.00%,-959.82
TGNN 12M,-0.21%,-0.05%,-0.23%,0.00%,-411.25
