date,portfolio_value,period_return,cumulative_return,drawdown,turnover,transaction_cost,benchmark_return,excess_return,active_stocks,weight_AAPL,weight_AMZN,weight_GOOGL,weight_IONQ,weight_META,weight_MSFT,weight_NVDA,weight_PLTR,weight_TSLA,weight_UNH
2017-12-31,1130169.9961791933,13.0419996175468,13.016999617919334,0.0,0.4999999925494194,249.9999962747097,10.04399995803833,2.9979996595084693,8,0.0,0.0,0.0,0.0,0.19999997317790985,0.19999997317790985,0.19999997317790985,0.0,0.20000003278255463,0.20000003278255463
2018-01-31,1093665.5030846659,-3.2300001962483025,9.366550308466582,-3.2300001962483047,0.0,0.0,-0.9950000226497651,-2.2350001735985376,8,0.0,0.0,0.0,0.0,0.19999997317790985,0.19999997317790985,0.19999997317790985,0.0,0.20000003278255463,0.20000003278255463
2018-02-28,995585.5746312778,-8.96800056111811,-0.44144253687221635,-11.908334321642752,0.0,0.0,-6.100000095367432,-2.8680004657506784,8,0.0,0.0,0.0,0.0,0.19999997317790985,0.19999997317790985,0.19999997317790985,0.0,0.20000003278255463,0.20000003278255463
2018-03-31,1038475.4020121307,4.328000085473061,3.8475402012130733,-8.113345291156001,0.40000005066394806,199.1171401464035,3.3040000438690185,1.0240000416040425,8,0.0,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,0.0,0.20000000298023224
2018-04-30,1105062.4476432633,6.41200027483702,10.506244764326333,-2.2215727386863917,0.0,0.0,4.242000102996826,2.1700001718401936,8,0.0,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,0.0,0.20000000298023224
2018-05-31,1114278.669026027,0.834000051528216,11.427866902602691,-1.406100604943564,0.0,0.0,2.345000095665455,-1.5110000441372389,8,0.0,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,0.0,0.20000000298023224
2018-06-30,1129923.142579894,1.4240000936985027,12.992314257989413,-0.021842165349793215,0.4000000059604645,222.85573712601462,0.5940001010894774,0.8299999926090252,8,0.20000000298023224,0.20000000298023224,0.0,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0
2018-07-31,1212158.9522450978,7.278000296324494,21.215895224509772,0.0,0.0,0.0,2.6770001053810124,4.601000190943482,8,0.20000000298023224,0.20000000298023224,0.0,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0
2018-08-31,1207310.3162193664,-0.4000000178813936,20.731031621936637,-0.4000000178814057,0.0,0.0,-2.0509999811649324,1.6509999632835388,8,0.20000000298023224,0.20000000298023224,0.0,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0
2018-09-30,1055816.9218719867,-12.536333582689938,5.581692187198661,-12.89781592451572,0.23348715901374817,140.94572789102492,-6.291999936103822,-6.244333646586116,8,0.18325641751289368,0.22511523962020874,0.0,0.0,0.18325641751289368,0.0,0.22511523962020874,0.0,0.0,0.18325667083263397
2018-10-31,982426.3442764243,-6.951070405789608,-1.757365572357572,-18.952350064583097,0.0,0.0,-2.421000051498414,-4.530070354291194,8,0.18325641751289368,0.22511523962020874,0.0,0.0,0.18325641751289368,0.0,0.22511523962020874,0.0,0.0,0.18325667083263397
2018-11-30,872267.2802608497,-11.212959084144757,-12.773271973915023,-28.040189890502266,0.0,0.0,-7.22300000190735,-3.989959082237407,8,0.18325641751289368,0.22511523962020874,0.0,0.0,0.18325641751289368,0.0,0.22511523962020874,0.0,0.0,0.18325667083263397
2018-12-31,933904.5365074537,7.098001118570558,-6.609546349254636,-22.955274572058045,0.6334871649742126,276.2850632361064,6.605999970436096,0.49200114813446216,8,0.20000001788139343,0.0,0.20000001788139343,0.0,0.20000001788139343,0.20000001788139343,0.0,0.0,0.19999994337558746,0.0
2019-01-31,1020776.3403320388,9.302000411033646,2.07763403320389,-15.788573896071146,0.0,0.0,5.733000135421753,3.5690002756118933,8,0.20000001788139343,0.0,0.20000001788139343,0.0,0.20000001788139343,0.20000001788139343,0.0,0.0,0.19999994337558746,0.0
2019-02-28,1041579.7726656329,2.0380010303557015,4.157977266563284,-14.072344164395853,0.0,0.0,3.7649999380111696,-1.7269989076554682,8,0.20000001788139343,0.0,0.20000001788139343,0.0,0.20000001788139343,0.20000001788139343,0.0,0.0,0.19999994337558746,0.0
2019-03-31,1056161.875168166,1.4199986311793387,5.616187516816584,-12.869358163630459,0.40000011026859283,208.3160119598945,2.280999964475632,-0.8610013332962931,8,0.0,0.0,0.0,0.0,0.19999997317790985,0.19999997317790985,0.19999997317790985,0.0,0.20000003278255463,0.20000003278255463
2019-04-30,945328.2523225896,-10.493999589592168,-5.467174767741034,-22.0128473603481,0.0,0.0,-8.182000041007996,-2.311999548584172,8,0.0,0.0,0.0,0.0,0.19999997317790985,0.19999997317790985,0.19999997317790985,0.0,0.20000003278255463,0.20000003278255463
2019-05-31,1038802.3063703404,9.887999625325188,3.8802306370340434,-14.301477999537541,0.0,0.0,6.125999915599824,3.761999709725364,8,0.0,0.0,0.0,0.0,0.19999997317790985,0.19999997317790985,0.19999997317790985,0.0,0.20000003278255463,0.20000003278255463
2019-06-30,1053106.4643980958,1.3981303722971,5.310646439809585,-13.121421704011116,0.42289572209119797,219.6525257312435,2.5159999907016757,-1.1178696184045758,8,0.18855205178260803,0.2171718180179596,0.0,0.0,0.18855205178260803,0.0,0.2171718180179596,0.0,0.0,0.18855223059654236
2019-07-31,1028815.6934987922,-2.306582641023585,2.8815693498792205,-15.125347909754472,0.0,0.0,-1.6920000255107879,-0.6145826155127971,8,0.18855205178260803,0.2171718180179596,0.0,0.0,0.18855205178260803,0.0,0.2171718180179596,0.0,0.0,0.18855223059654236
2019-08-31,1027676.0233955906,-0.11077495322081177,2.767602339559061,-15.219367765903765,0.0,0.0,1.0750000178813934,-1.1857749711022052,8,0.18855205178260803,0.2171718180179596,0.0,0.0,0.18855205178260803,0.0,0.2171718180179596,0.0,0.0,0.18855223059654236
2019-09-30,1150871.2598286576,11.989081144851134,15.087125982865768,-5.056077200347888,0.026615232229232788,13.675918009544056,10.272000098228455,1.7170810466226794,8,0.17724840342998505,0.2151678502559662,0.0,0.0,0.17724840342998505,0.0,0.2151678502559662,0.0,0.0,0.21516746282577515
2019-10-31,1230388.3079455027,6.909291324963984,23.038830794550268,0.0,0.0,0.0,4.837999951839446,2.071291373124538,8,0.17724840342998505,0.2151678502559662,0.0,0.0,0.17724840342998505,0.0,0.2151678502559662,0.0,0.0,0.21516746282577515
2019-11-30,1299838.516840653,5.644576467986603,29.9838516840653,0.0,0.0,0.0,6.196000123023987,-0.5514236550373841,8,0.17724840342998505,0.2151678502559662,0.0,0.0,0.17724840342998505,0.0,0.2151678502559662,0.0,0.0,0.21516746282577515
2019-12-31,1313934.6641791551,1.0850258221275917,31.393466417915516,0.0,0.011441752314567566,7.436215179312807,7.608000001311302,-6.52297417918371,8,0.18296928703784943,0.21135380864143372,0.0,0.0,0.18296928703784943,0.0,0.21135380864143372,0.0,0.0,0.21135380864143372
2020-01-31,1247854.5957342642,-5.029174604063936,24.785459573426415,-5.029174604063941,0.0,0.0,-2.414999997615814,-2.614174606448122,8,0.18296928703784943,0.21135380864143372,0.0,0.0,0.18296928703784943,0.0,0.21135380864143372,0.0,0.0,0.21135380864143372
