전략,최종 자산 (원),누적 수익률
1/N Buy & Hold,"11,389,727",1038.97%
TGNN (월간),"8,764,811",776.48%
TGNN (분기),"7,920,569",692.06%
TGNN (반기),"8,839,977",784.00%
TGNN (연간),"7,600,528",660.05%
