전략,최종 자산 (원),누적 수익률
1/N Buy & Hold,"16,334,112",1533.41%
DDPG (월간),"54,029,439,421",5402843.94%
DDPG (분기),"179,521,695",17852.17%
DDPG (반기),"100,923,951",9992.40%
DDPG (연간),"109,896,586",10889.66%
