Strategy,Model,CAGR (%),Sharpe Ratio,MDD (%),Total Return (%)
HYBRID_Annual,HYBRID,18.735641846648043,0.8303410702825075,19.44415508826204,96.33475971260346
HYBRID_Semiannual,HYBRID,10.055114645544116,0.3676880010305496,25.1358140076418,45.70309022196173
HYBRID_Quarterly,HYBRID,9.330719330058646,0.3457087637079024,24.21596589977687,41.9716146596891
HYBRID_Monthly,HYBRID,6.438879102520723,0.1892506966436762,25.12647189221711,27.780750449330107
TGNN_Monthly,TGNN,6.198777423321533,0.2078923913811992,23.822686889390777,26.652098099716003
Benchmark,Benchmark,5.888443895589202,0.2168175726794772,21.51087469732932,25.20433526043235
DDPG_Monthly,DDPG,4.585789039521715,0.1075127977002078,37.16254451121577,19.261372626266283
TGNN_Semiannual,TGNN,1.948319891164152,-0.0028143087908263,21.112165604629418,7.875225198154401
TGNN_Annual,TGNN,1.3169315275169513,-0.038261144947257,21.54964766423653,5.274273770077875
DDPG_Semiannual,DDPG,-0.0566187367382453,-0.0873417093961607,36.32861197028509,-0.2222464101282129
TGNN_Quarterly,TGNN,-0.2432618677302711,-0.1240366280688126,23.39927065857613,-0.9522727947801402
DDPG_Quarterly,DDPG,-0.280576963677237,-0.1023186061997734,28.118417149639885,-1.0977462003618932
DDPG_Annual,DDPG,-2.2636154240762263,-0.1887891706242701,36.240374144156696,-8.602283485286733
