Strategy,Model,CAGR (%),Sharpe Ratio,MDD (%),Total Return (%)
HYBRID_Annual,HYBRID,16.18344969090868,0.6859080196875265,22.2288958701071,80.27018617118567
HYBRID_Monthly,HYBRID,11.990917776394516,0.434566571204884,26.715679977227293,56.03361039776671
DDPG_Annual,DDPG,11.476116099032296,0.4221715562074965,24.543266731900435,53.23472248243854
DDPG_Quarterly,DDPG,11.354303186163197,0.4268052459091883,25.82181843418204,52.577959944330566
DDPG_Monthly,DDPG,10.001306161231916,0.3526625398853351,36.49567584484244,45.42342851118624
HYBRID_Quarterly,HYBRID,8.311915217324305,0.2768214406596005,24.371587950787127,36.84472689252911
DDPG_Semiannual,DDPG,7.476251186600868,0.2525736468050877,25.81200413282927,32.74355088637393
TGNN_Quarterly,TGNN,5.992095015048293,0.2150408278606567,22.11339909355753,25.68650715444136
Benchmark,Benchmark,5.888443895589202,0.2168175726794772,21.51087469732932,25.20433526043235
TGNN_Monthly,TGNN,5.064341527034122,0.1600874306766882,25.67418969659421,21.41961388554792
HYBRID_Semiannual,HYBRID,3.6206194362549793,0.06717190946018,41.55452322824949,14.99565670046643
TGNN_Semiannual,TGNN,0.770526682792938,-0.0635337599379325,25.383675228489427,3.061392138664365
TGNN_Annual,TGNN,0.016328730153714,-0.1028175825103967,24.6592433586758,0.0641639222356715
