전략,누적수익률,CAGR,변동성,MDD,Sharpe,Sortino,Calmar,VaR(95%),CVaR(95%),Info Ratio,Avg Turnover,총 거래비용
Buy_Hold,0.84%,0.21%,0.18%,-0.24%,-15.95,-1.87,0.87,-0.08%,-0.10%,0.00,0.00%,0원
TGNN_Monthly,0.24%,0.06%,0.18%,-0.39%,-15.25,-1.55,0.15,-0.09%,-0.11%,0.43,28.78%,"6,903원"
TGNN_Quarterly,0.57%,0.14%,0.18%,-0.29%,-15.72,-1.71,0.48,-0.09%,-0.10%,-0.12,9.95%,"2,392원"
TGNN_Semiannual,0.89%,0.22%,0.17%,-0.20%,-16.20,-2.09,1.11,-0.07%,-0.09%,0.86,5.72%,"1,374원"
TGNN_Annual,0.95%,0.24%,0.19%,-0.20%,-14.18,-1.95,1.20,-0.07%,-0.10%,0.87,2.30%,553원
