전략,최종 자산 (원),누적 수익률,CAGR,MDD,연평균 낙폭
1/N Buy & Hold,"1,008,351",0.84%,0.21%,-0.24%,-0.09%
TGNN (월간),"1,009,311",0.93%,0.24%,-0.27%,-0.09%
TGNN (분기),"1,008,074",0.81%,0.21%,-0.25%,-0.10%
TGNN (반기),"1,010,317",1.03%,0.26%,-0.18%,-0.08%
TGNN (연간),"1,010,055",1.01%,0.26%,-0.20%,-0.08%
