Strategy,Cumulative Return,CAGR,MDD,Avg Annual DD,Sharpe
Buy & Hold,-1.14%,-0.29%,-2.72%,0.85%,-2.58
TGNN 1M,-1.52%,-0.38%,-3.10%,0.75%,-2.38
TGNN 3M,-3.51%,-0.89%,-4.56%,0.72%,-3.73
TGNN 6M,-7.15%,-1.84%,-7.55%,0.73%,-4.41
TGNN 12M,-6.59%,-1.69%,-6.68%,0.62%,-5.79
